MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
10804,79,21,PI,GUARIBAS,1031,1800529,0B1C594B,20220927T172200,131661381602719643687778,20221002T080001,20221002T172655,359,311,286,11
10804,79,25,PI,GUARIBAS,1015,1801704,0B1C594B,20220927T172800,747722433363745564522017,20221002T080001,20221002T184901,435,324,285,22
10820,4,103,PI,ILHA GRANDE,1082,1605448,9E340E44,20220927T091600,988742403866909438428112,20221002T080001,20221002T200156,415,346,291,24
10820,4,112,PI,ILHA GRANDE,1082,1608481,F4155715,20220927T090900,776621152590812158154056,20221002T080001,20221002T194314,416,342,294,24
11533,3,65,PI,PARNAÍBA,1031,1661896,F4DCB92F,20221002T105000,163149165159519005893574,20221002T080001,20221002T204436,415,330,252,55
10847,79,72,PI,JUREMA,1082,1800403,7F58C2A0,20220927T201800,835731540350044637736143,20221002T080001,20221002T194001,396,333,252,59
10855,40,17,PI,FRONTEIRAS,1066,1324314,5F9C5A4C,20220928T160100,309758148682613454033889,20221002T080001,20221002T213917,423,356,260,71
10855,40,18,PI,FRONTEIRAS,1066,1275487,5F9C5A4C,20220928T160900,925920871644793524080008,20221002T080001,20221002T200138,423,348,254,65
10855,40,66,PI,FRONTEIRAS,1155,1280977,5F9C5A4C,20220928T163700,047132121856046364575378,20221002T080001,20221002T222222,423,345,284,41
10855,40,9,PI,FRONTEIRAS,1031,1280811,5F9C5A4C,20220928T151700,037031029055740922937856,20221002T080001,20221002T225154,440,349,260,62
10863,12,96,PI,LAGOA DE SÃO FRANCISCO,1015,2196363,A74D35CB,20220921T175800,602089895297331828372721,20221002T080001,20221002T174147,382,286,251,17
10901,47,61,PI,NOVO SANTO ANTÔNIO,1023,2196270,0173A2BE,20220927T142800,109315637952771633713910,20221002T080545,20221002T185038,337,296,268,17
10928,96,80,PI,NOSSA SENHORA DE NAZARÉ,1031,2206803,BDB6E718,20220927T091200,562485122595206139909908,20221002T080001,20221002T174920,356,302,251,34
10944,10,368,PI,PAQUETÁ,1074,1168757,E1D0472F,20220927T084900,853992420681143679805120,20221002T080001,20221002T210623,440,392,313,64
10952,64,98,PI,IPIRANGA DO PIAUÍ,1090,1279837,F38E86A0,20220922T133100,398625907265102316346668,20221002T080001,20221002T202350,360,322,289,13
10960,69,109,PI,NOVA SANTA RITA,1082,1048943,F36BCF28,20220926T172600,903031984952670081488418,20221002T080001,20221002T191227,324,284,257,11
10960,69,115,PI,NOVA SANTA RITA,1023,1049986,F36BCF28,20220926T180600,216162926083917668815791,20221002T080001,20221002T183855,367,311,254,41
10960,69,118,PI,NOVA SANTA RITA,1040,1279735,F36BCF28,20220926T182100,802021848842339667954339,20221002T081858,20221002T220952,365,319,285,17
10979,57,86,PI,ISAÍAS COELHO,1104,1278115,47CC2C69,20220928T171600,084020304380940741795216,20221002T080001,20221002T203611,389,285,255,10
12556,57,31,,,1120,1278548,623F2C68,20220929T084800,381150386148787280854405,20221002T080001,20221002T230256,399,348,287,40
10995,57,39,PI,ITAINÓPOLIS,1171,1279317,9F02AC6E,20220928T173700,809892005602912976089850,20221002T080001,20221002T201252,398,342,300,22
1104,5,66,AC,JORDÃO,1074,1782874,226172BA,20220921T104600,752730830856480663712608,20221002T061520,20221002T163325,321,260,250,4
