15873,89,INDEFINIDO,,,1,1234592,7D0313D5,20220926T134000,587413580203675333177566,INDEFINIDO,INDEFINIDO,293,236,196,26,11,2,236,LULA,170,false,0
13030,30,101,,,1163,1327209,9FEEB6BD,20220922T103800,441565445409313598692373,20221002T080001,20221002T174530,286,225,133,64,17,6,225,LULA,69,false,0
13030,30,117,,,1244,1307157,3842D9C5,20220922T091300,603181607872862645480109,20221002T092513,20221002T170258,219,182,139,33,9,1,182,LULA,106,false,0
13030,30,98,,,1155,1307714,9FEEB6BD,20220922T142100,976818978662700002123789,20221002T080001,20221002T184513,293,243,137,92,10,3,243,LULA,45,false,0
15598,121,193,,,1031,1635721,2CEAD5FA,20220926T141300,854719859430998518729290,20221002T080220,20221002T170608,204,176,106,39,22,8,176,LULA,67,false,0
15598,121,196,,,1031,1631820,2CEAD5FA,20220926T140000,006234007145844716053517,20221002T080001,20221002T170843,198,175,111,31,24,5,175,LULA,80,false,0
13005,30,161,,,1295,1237947,9CF1FAFF,20221001T135200,988119988726717029314971,20221002T080929,20221002T184321,347,281,173,70,24,10,281,LULA,103,false,0
13030,30,98,,,1015,1300694,701F39F2,20221001T135000,835404839005423185456832,20221002T080001,20221002T183850,333,254,140,76,30,7,254,LULA,64,false,0
15610,55,58,,,1023,1193056,74A153EC,20220929T132200,526142520374844622032639,20221002T080001,20221002T200743,358,262,222,28,6,5,262,LULA,194,false,0
15610,55,61,,,1023,1001251,74A153EC,20220929T114800,788768787400487573564414,20221002T080001,20221002T202547,359,268,219,26,15,7,268,LULA,193,false,0
18570,21,18,,,1015,1308128,BC806D0A,20220921T104700,524777525572328425459658,20221002T080237,20221002T191416,303,249,179,43,11,13,249,LULA,136,false,0
18937,37,83,,,1015,1794777,B2290E56,20220921T143000,145612149673804262366256,20221002T080229,20221002T170049,212,167,122,25,10,3,167,LULA,97,false,0
18279,18,10,,,1015,1308358,536C74D3,20220922T133700,035898035320163071221272,20221002T085146,20221002T171514,298,245,154,69,13,4,245,LULA,85,false,0
18279,18,36,,,1058,1241597,536C74D3,20220922T115900,965191966913193016050346,20221002T080001,20221002T185042,332,258,166,59,18,7,258,LULA,107,false,0
17710,42,54,,,1066,1792904,13DFCA04,20220922T104200,488298482256024620889947,20221002T080742,20221002T195435,366,314,253,41,12,7,314,LULA,212,false,0
