MUNICIPIO,ESTADO,POPULACAOESTIMADA,MARGEMDECORTE,POPULACAOAPTA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
CHIADOR,MG,2893,18.44,2360,2405,1179,966
ULIANÓPOLIS,PA,31881,24.77,23984,14928,7409,6704
CIPOTÂNEA,MG,6539,18.44,5333,3931,2362,1001
CLARAVAL,MG,4295,18.44,3503,3663,1087,2286
CLARO DOS POÇÕES,MG,8131,18.44,6632,5883,3174,2045
CLÁUDIO,MG,24590,18.44,20056,17892,5357,9597
COIMBRA,MG,6886,18.44,5616,5287,2999,1507
COLUNA,MG,9281,18.44,7570,4598,2790,1217
COMENDADOR GOMES,MG,3087,18.44,2518,2098,874,1068
BRAGANÇA,PA,101728,24.77,76530,70416,40248,22673
COMERCINHO,MG,8720,18.44,7112,4683,3386,805
NOVA MAMORÉ,RO,21162,22.52,16396,13176,2978,9483
CONCEIÇÃO DA APARECIDA,MG,10215,18.44,8331,6424,2894,2890
CONCEIÇÃO DAS PEDRAS,MG,2726,18.44,2223,2177,933,829
CONCEIÇÃO DAS ALAGOAS,MG,20426,18.44,16659,15127,8176,5793
CONCEIÇÃO DE IPANEMA,MG,4396,18.44,3585,3294,1830,1238
CONCEIÇÃO DO MATO DENTRO,MG,18070,18.44,14738,13282,8367,3255
CONCEIÇÃO DO PARÁ,MG,4725,18.44,3854,4020,1329,2249
CONCEIÇÃO DO RIO VERDE,MG,12708,18.44,10365,7982,4281,2761
CONCEIÇÃO DOS OUROS,MG,10204,18.44,8322,7330,2440,3801
CONGONHAL,MG,9692,18.44,7905,7093,2418,3795
CONGONHAS,MG,45984,18.44,37505,35112,16486,13048
BREVES,PA,94458,24.77,71061,54296,31963,17687
CONGONHAS DO NORTE,MG,5110,18.44,4168,2961,1952,561
CONQUISTA,MG,6580,18.44,5367,4131,1936,1717
UBERABA,MG,287760,18.44,234697,186127,79118,84123
TERRA SANTA,PA,15316,24.77,11522,10918,6114,4076
CONSELHEIRO LAFAIETE,MG,109280,18.44,89129,81117,40769,27796
CONSELHEIRO PENA,MG,21793,18.44,17774,11789,4790,5868
CONSOLAÇÃO,MG,1695,18.44,1382,1421,600,625
COQUEIRAL,MG,9466,18.44,7720,5975,2551,2664
BUJARU,PA,22535,24.77,16953,17916,11878,4647
CORAÇÃO DE JESUS,MG,26131,18.44,21312,15586,10933,3200
CORDISBURGO,MG,9033,18.44,7367,5619,2914,2096
CORDISLÂNDIA,MG,3570,18.44,2912,2148,1110,799
CORINTO,MG,22741,18.44,18548,14057,7866,4774
NOVO PROGRESSO,PA,21598,24.77,16248,16372,2830,12824
COROACI,MG,10776,18.44,8789,5799,3145,1909
COROMANDEL,MG,27392,18.44,22341,18439,7080,9176
CORONEL MURTA,MG,9120,18.44,7438,5361,3786,1066
CORONEL FABRICIANO,MG,100805,18.44,82217,61975,24069,31812
CACHOEIRA DO ARARI,PA,18995,24.77,14290,14307,10686,2520
CONTAGEM,MG,608650,18.44,496415,379180,151516,171682
CORONEL PACHECO,MG,2457,18.44,2004,2350,1247,820
CORONEL XAVIER CHAVES,MG,3194,18.44,2605,2427,1396,669
CÓRREGO DANTA,MG,3423,18.44,2792,2279,1016,1050
CÓRREGO DO BOM JESUS,MG,3724,18.44,3037,3253,1290,1484
CÓRREGO NOVO,MG,3155,18.44,2573,2675,1657,813
COUTO DE MAGALHÃES DE MINAS,MG,4332,18.44,3533,2744,1938,477
CRISTAIS,MG,10631,18.44,8671,6667,3007,2813
CRISTÁLIA,MG,5731,18.44,4674,3618,2467,769
CRISTIANO OTONI,MG,4881,18.44,3981,3573,1552,1438
OURO BRANCO,MG,33548,18.44,27362,25667,12040,10077
CRISTINA,MG,10955,18.44,8935,6332,2336,3102
CRUCILÂNDIA,MG,4593,18.44,3746,4201,1806,1779
CRUZEIRO DA FORTALEZA,MG,3760,18.44,3067,3175,1319,1580
CRUZÍLIA,MG,14656,18.44,11953,10056,5206,3622
CAMETÁ,PA,110323,24.77,82996,83909,61121,17289
CURVELO,MG,71611,18.44,58406,45916,22255,17830
INIMUTABA,MG,6420,18.44,5236,5033,2855,1658
DATAS,MG,5418,18.44,4419,3723,2603,678
DELFIM MOREIRA,MG,7834,18.44,6389,6535,2479,3168
NOVO REPARTIMENTO,PA,51645,24.77,38853,33329,14140,17086
DELFINÓPOLIS,MG,6698,18.44,5463,4572,1947,2152
DESCOBERTO,MG,4876,18.44,3977,3335,1811,1070
SÃO JOÃO NEPOMUCENO,MG,25011,18.44,20399,16301,7670,6550
DESTERRO DE ENTRE RIOS,MG,6914,18.44,5639,4983,1718,2336
DESTERRO DO MELO,MG,3198,18.44,2608,3040,1496,1066
CAPANEMA,PA,61350,24.77,46154,43171,24307,14809
DIAMANTINA,MG,44746,18.44,36495,28448,17923,7167
DIOGO DE VASCONCELOS,MG,3941,18.44,3214,2991,2089,524
DIONÍSIO,MG,10234,18.44,8347,4900,2686,1701
DIVINO,MG,19245,18.44,15696,11789,6492,4288
DIVINO DAS LARANJEIRAS,MG,4934,18.44,4024,3186,1475,1392
DIVINOLÂNDIA DE MINAS,MG,6724,18.44,5484,4236,2310,1372
DIVISA NOVA,MG,5619,18.44,4583,3879,1901,1596
DIVINÓPOLIS,MG,209921,18.44,171212,140162,56433,65572
SÃO GONÇALO DO PARÁ,MG,10308,18.44,8407,7260,3023,3199
BREU BRANCO,PA,47069,24.77,35410,23115,12627,8732
DOM CAVATI,MG,5593,18.44,4562,3207,1418,1491
ENGENHEIRO CALDAS,MG,10317,18.44,8415,5131,2506,2133
DOM JOAQUIM,MG,4530,18.44,3695,3026,1807,843
DOM SILVÉRIO,MG,5284,18.44,4310,3467,2124,872
DOM VIÇOSO,MG,3020,18.44,2463,2421,1039,1099
CAPITÃO POÇO,PA,50839,24.77,38246,34143,20487,10818
DORES DE GUANHÃES,MG,5528,18.44,4509,3714,2174,1103
DORES DO INDAIÁ,MG,13996,18.44,11415,7681,2859,3960
QUARTEL GERAL,MG,3200,18.44,2610,3139,1673,1086
SÃO DOMINGOS DO ARAGUAIA,PA,21094,24.77,15869,12146,6668,4571
DORES DO TURVO,MG,4572,18.44,3729,3977,2333,1206
DOURADOQUARA,MG,1846,18.44,1506,1633,885,567
ELÓI MENDES,MG,24161,18.44,19706,16008,5835,8197
FERNANDES TOURINHO,MG,2612,18.44,2130,2170,996,939
TARUMIRIM,MG,14185,18.44,11569,7699,3863,3138
CASTANHAL,PA,152126,24.77,114444,115076,49819,52329
ENGENHEIRO NAVARRO,MG,7079,18.44,5774,4560,3105,1006
ENTRE RIOS DE MINAS,MG,13887,18.44,11326,10018,5116,3389
ERVÁLIA,MG,18002,18.44,14682,12964,7731,3251
NOVA ESPERANÇA DO PIRIÁ,PA,22447,24.77,16887,12276,6643,4689
ESPERA FELIZ,MG,20835,18.44,16993,13772,6793,5614
ESMERALDAS,MG,55436,18.44,45214,41224,20127,15575
ESPINOSA,MG,31322,18.44,25546,18186,11336,5243
ESPÍRITO SANTO DO DOURADO,MG,4293,18.44,3501,3873,1813,1571
MACHADO,MG,37567,18.44,30640,24198,8618,12836
ESTIVA,MG,10920,18.44,8906,7683,3016,3541
ESTRELA DALVA,MG,2497,18.44,2037,2158,1275,678
ESTRELA DO INDAIÁ,MG,3651,18.44,2978,2161,988,929
EUGENÓPOLIS,MG,10291,18.44,8393,7924,3846,3386
CHAVES,PA,19368,24.77,14571,10211,6321,2771
EWBANK DA CÂMARA,MG,3567,18.44,2909,3452,2228,953
CABIXI,RO,6575,22.52,5094,3592,1136,2206
ABEL FIGUEIREDO,PA,6592,24.77,4959,4244,2377,1563
FARIA LEMOS,MG,3612,18.44,2946,2546,1494,819
FELÍCIO DOS SANTOS,MG,5685,18.44,4637,3337,1898,908
SÃO GONÇALO DO RIO PRETO,MG,3124,18.44,2548,2116,1480,339
COLARES,PA,10981,24.77,8261,9181,6411,1864
FELISBURGO,MG,6687,18.44,5454,3607,2356,772
FELIXLÂNDIA,MG,13618,18.44,11107,8681,4686,2890
FERROS,MG,11387,18.44,9287,6183,3847,1573
FLORESTAL,MG,5928,18.44,4835,5291,2436,2086
FORMOSO,MG,6612,18.44,5393,4471,2632,1430
FORMIGA,MG,64585,18.44,52676,43052,14754,21644
FORTALEZA DE MINAS,MG,3837,18.44,3129,2342,920,1088
FORTUNA DE MINAS,MG,2454,18.44,2001,2271,1330,719
CUMARU DO NORTE,PA,10452,24.77,7863,5414,1962,3206
FRANCISCO BADARÓ,MG,10269,18.44,8375,4599,3024,1023
FRANCISCO DUMONT,MG,4759,18.44,3881,2882,1663,911
FREI GASPAR,MG,6343,18.44,5173,3897,2475,1052
CONCEIÇÃO DO ARAGUAIA,PA,45267,24.77,34054,24492,10211,12079
FLORESTA DO ARAGUAIA,PA,14964,24.77,11257,11034,4922,5381
FREI INOCÊNCIO,MG,8873,18.44,7237,4935,2694,1796
FRONTEIRA,MG,13983,18.44,11405,7910,4099,3218
FRUTAL,MG,51766,18.44,42220,30841,12801,15115
TERRA ALTA,PA,9861,24.77,7418,8767,5480,2552
GALILÉIA,MG,7302,18.44,5956,3749,1824,1677
GONÇALVES,MG,4270,18.44,3483,3032,987,1523
GONZAGA,MG,5620,18.44,4584,3132,1716,987
GOUVEIA,MG,11569,18.44,9436,7900,5053,1878
CURRALINHO,PA,25388,24.77,19099,18561,13871,3556
