MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
ACARAÚ,CE,52123,38141,25419,8680
PIRES FERREIRA,CE,9483,7165,5273,1074
MADALENA,CE,17051,11411,8908,1583
GRAÇA,CE,15297,9809,7907,920
ACOPIARA,CE,48703,30972,23642,3950
AIUABA,CE,15585,8661,7010,824
TURURU,CE,13350,12145,8595,2466
ALCÂNTARAS,CE,10270,7951,5936,893
MERUOCA,CE,12148,10898,7489,1592
QUITERIANÓPOLIS,CE,20079,13426,10367,1769
BARREIRA,CE,18453,15473,8912,4996
ALTANEIRA,CE,6417,5137,4283,350
ALTO SANTO,CE,19154,9981,7772,1502
ANTONINA DO NORTE,CE,6761,5229,4157,534
ACARAPE,CE,14658,10026,5996,3125
CHOROZINHO,CE,18261,14627,9953,3079
APUIARÉS,CE,13649,10223,7592,1733
AQUIRAZ,CE,67265,52826,31902,15296
VILHENA,RO,66746,49960,10784,34872
ERERÉ,CE,6927,4362,3494,515
ARACOIABA,CE,24423,20545,14809,4122
GUAIÚBA,CE,22405,16756,11888,3408
ARACATI,CE,66049,46685,30215,11451
POTIRETAMA,CE,6478,4882,4029,619
ARARIPE,CE,21214,13178,11229,866
ARATUBA,CE,12129,9675,7041,1660
ARNEIROZ,CE,7302,5398,4093,797
PINDORETAMA,CE,17143,15837,10761,3693
OCARA,CE,23359,19995,14025,4226
ASSARÉ,CE,21616,14631,11787,1527
TEJUÇUOCA,CE,15062,12536,9288,2066
AURORA,CE,24480,15574,12040,1920
IPAPORANGA,CE,11353,7777,5991,1214
BAIXIO,CE,5780,4368,3512,479
TARRAFAS,CE,8734,5684,4652,527
BARBALHA,CE,50386,40085,28304,7861
BANABUIÚ,CE,17448,12339,9706,1781
BARROQUINHA,CE,14812,11227,8307,1652
BARRO,CE,20673,12743,10402,1242
BATURITÉ,CE,31669,22368,16053,4369
ARARENDÁ,CE,10649,7382,5441,1349
BEBERIBE,CE,46155,37025,23925,8870
CATUNDA,CE,10508,8354,6621,980
SANTA QUITÉRIA,CE,43344,26237,19557,3519
BELA CRUZ,CE,29566,16379,10385,3834
CHORÓ,CE,12790,9314,7288,1326
BOA VIAGEM,CE,53538,32988,26608,3478
ITAITINGA,CE,31107,25942,15703,7531
FORTIM,CE,14072,12723,8141,3380
BREJO SANTO,CE,39613,29155,22469,4438
CAMOCIM,CE,58470,38655,24217,8532
CAMPOS SALES,CE,25553,15638,12689,1732
CANINDÉ,CE,73878,46783,34884,7942
CAPISTRANO,CE,16403,13067,9864,2088
CARIDADE,CE,17977,14040,10777,2180
CARIRÉ,CE,18527,12228,8322,2453
CARIRIAÇU,CE,26325,19398,14877,2677
CARIÚS,CE,18649,12495,9821,1683
CARNAUBAL,CE,16001,10710,6933,2377
CATARINA,CE,17028,6766,5308,912
CASCAVEL,CE,63932,48165,29681,12728
CEDRO,CE,24607,16164,12164,2202
