MUNICIPIO,ESTADO,POPULACAOESTIMADA,TOTALCOMPARECIMENTOS,VOTOSLULA,VOTOSBOLSONARO
CAXINGÓ,PI,5477,4601,3560,571
SÃO MIGUEL DO FIDALGO,PI,3037,2304,2003,206
ABAIARA,CE,11965,5918,4870,594
JIJOCA DE JERICOACOARA,CE,20351,14650,9151,3950
ACARAÚ,CE,63556,38141,25419,8680
PIRES FERREIRA,CE,11052,7165,5273,1074
MADALENA,CE,20031,11411,8908,1583
GRAÇA,CE,14415,9809,7907,920
ACOPIARA,CE,54687,30972,23642,3950
AIUABA,CE,17584,8661,7010,824
TURURU,CE,16588,12145,8595,2466
ALCÂNTARAS,CE,11846,7951,5936,893
MERUOCA,CE,15309,10898,7489,1592
QUITERIANÓPOLIS,CE,21246,13426,10367,1769
BARREIRA,CE,22715,15473,8912,4996
ALTANEIRA,CE,7712,5137,4283,350
ALTO SANTO,CE,16077,9981,7772,1502
ANTONINA DO NORTE,CE,7402,5229,4157,534
ACARAPE,CE,15140,10026,5996,3125
CHOROZINHO,CE,20286,14627,9953,3079
APUIARÉS,CE,14742,10223,7592,1733
HORIZONTE,CE,69688,48963,28683,14302
AQUIRAZ,CE,81581,52826,31902,15296
VILHENA,RO,104517,49960,10784,34872
ERERÉ,CE,7254,4362,3494,515
ARACOIABA,CE,26600,20545,14809,4122
GUAIÚBA,CE,26508,16756,11888,3408
EUSÉBIO,CE,55035,42417,21790,15728
ARACATI,CE,75392,46685,30215,11451
POTIRETAMA,CE,6455,4882,4029,619
ARARIPE,CE,21707,13178,11229,866
ARATUBA,CE,11759,9675,7041,1660
ARNEIROZ,CE,7848,5398,4093,797
PINDORETAMA,CE,20964,15837,10761,3693
OCARA,CE,25958,19995,14025,4226
ASSARÉ,CE,23537,14631,11787,1527
TEJUÇUOCA,CE,19551,12536,9288,2066
AURORA,CE,24567,15574,12040,1920
IPAPORANGA,CE,11597,7777,5991,1214
BAIXIO,CE,6318,4368,3512,479
TARRAFAS,CE,8555,5684,4652,527
BARBALHA,CE,61662,40085,28304,7861
BANABUIÚ,CE,18313,12339,9706,1781
BARROQUINHA,CE,15069,11227,8307,1652
BARRO,CE,22834,12743,10402,1242
BATURITÉ,CE,36127,22368,16053,4369
ARARENDÁ,CE,10983,7382,5441,1349
BEBERIBE,CE,54315,37025,23925,8870
CATUNDA,CE,10410,8354,6621,980
SANTA QUITÉRIA,CE,43719,26237,19557,3519
BELA CRUZ,CE,32851,16379,10385,3834
CHORÓ,CE,13608,9314,7288,1326
BOA VIAGEM,CE,54680,32988,26608,3478
ITAITINGA,CE,38661,25942,15703,7531
FORTIM,CE,16776,12723,8141,3380
BREJO SANTO,CE,50195,29155,22469,4438
CAMOCIM,CE,64147,38655,24217,8532
CAMPOS SALES,CE,27513,15638,12689,1732
CANINDÉ,CE,77484,46783,34884,7942
CAPISTRANO,CE,17830,13067,9864,2088
CARIDADE,CE,23011,14040,10777,2180
CARIRÉ,CE,18470,12228,8322,2453
CARIRIAÇU,CE,27008,19398,14877,2677
CARIÚS,CE,18700,12495,9821,1683
CARNAUBAL,CE,17763,10710,6933,2377
CATARINA,CE,21041,6766,5308,912
CASCAVEL,CE,72706,48165,29681,12728
CEDRO,CE,25612,16164,12164,2202
CHAVAL,CE,13112,8410,6493,1147
COREAÚ,CE,23340,15753,11123,2680
CRATEÚS,CE,75241,46471,33294,8408
CAUCAIA,CE,368918,203023,114030,63209
FARIAS BRITO,CE,19330,13751,11245,1307
CRATO,CE,133913,79996,63197,10330
FRECHEIRINHA,CE,14195,10540,7098,2135
GENERAL SAMPAIO,CE,7767,6063,4645,955
GRANJA,CE,55170,34405,27182,3743
GRANJEIRO,CE,4784,4445,3705,454
GROAÍRAS,CE,11219,7791,4665,1859
RIO BRANCO,AC,419452,210227,53519,130246
GUARACIABA DO NORTE,CE,40921,25472,17541,4918
GUARAMIRANGA,CE,5073,4922,3579,875
HIDROLÂNDIA,CE,20126,11842,8477,2031
IBARETAMA,CE,13385,10344,7809,1615
IBIAPINA,CE,25165,14946,9813,2876
ICÓ,CE,68303,38571,28700,6339
IGUATU,CE,103633,57933,44273,8838
INDEPENDÊNCIA,CE,26196,16621,11777,3433
IPAUMIRIM,CE,12507,7452,5875,957
IPU,CE,42148,25367,18862,4090
