MUN,ZONA,SECAO,ESTADO,MUNICIPIO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,LULA,BOLSONARO
8524,107,156,MA,SERRANO DO MARANHÃO,1210,1188469,416379CC,20220928T150600,168102266710719831433964,20221002T080001,20221002T170620,75,64,58,
8524,107,89,MA,SERRANO DO MARANHÃO,1147,1310773,416379CC,20220928T094300,228708771616297355810076,20221002T080001,20221002T170046,103,75,71,
8605,83,148,MA,TURILÂNDIA,1244,1814582,4B8FCC10,20220926T194700,551444800822797743551093,20221002T080001,20221002T170345,98,75,73,
8605,83,159,MA,TURILÂNDIA,1287,1337385,1721F8C6,20220926T171600,248313670400927009181194,20221002T080001,20221002T170133,102,91,88,
8630,45,63,MA,PENALVA,1317,1318892,736ED666,20220927T102300,661349415245549733238121,20221002T080001,20221002T170421,165,122,118,
8630,45,70,MA,PENALVA,1376,1240020,120EE24E,20220927T142600,166399160509698063699148,20221002T092552,20221002T170107,95,67,61,
8753,61,114,MA,POÇÃO DE PEDRAS,1376,1764964,02A8CDA3,20220922T113500,858838451097621748603596,20221002T080001,20221002T170005,96,71,65,
8834,50,151,MA,PRESIDENTE VARGAS,1244,1262170,ERROR,20220922T113500,494684044093264343348283,20221002T083602,20221002T172110,163,134,120,
8850,32,193,MA,PRIMEIRA CRUZ,1147,1790907,A69841E0,20220928T153700,523595573564413126957980,20221002T080001,20221002T171548,87,57,52,
8850,32,202,MA,PRIMEIRA CRUZ,1430,1662100,DD0AC564,20220928T171700,634606030578566519192518,20221002T080001,20221002T170139,67,63,57,
8850,32,89,MA,PRIMEIRA CRUZ,1341,1661086,DD0AC564,20220928T160300,301373859845753687057750,20221002T091017,20221002T171013,108,95,91,
8850,32,90,MA,PRIMEIRA CRUZ,1384,1662084,DD0AC564,20220928T163900,382181019753527998006704,20221002T080001,20221002T170752,54,44,36,
8974,70,186,MA,SANTA LUZIA,1716,1625234,2B940C7A,20220927T161500,277576582806869012227397,20221002T080035,20221002T170326,78,58,58,
8974,70,352,MA,SANTA LUZIA,1945,1620663,2B940C7A,20220927T163000,580607426637001275384757,20221002T080001,20221002T170407,96,85,83,
90280,28,158,MT,CONFRESA,1120,1054014,03798B39,20220922T121700,070809395445916386252694,20221002T070001,20221002T163552,401,375,375,
9059,73,163,MA,SÃO BENEDITO DO RIO PRETO,1406,1813725,6447FAE3,20220927T140200,415823256034480501597000,20221002T080001,20221002T171729,93,90,85,
9059,73,98,MA,SÃO BENEDITO DO RIO PRETO,1295,1234403,6447FAE3,20220927T172000,749156742167180943950112,20221002T085918,20221002T171033,136,121,113,
9075,38,116,MA,SÃO BENTO,1317,1288361,110B4494,20220927T212200,646773464304633289028081,20221002T080001,20221002T171321,233,166,160,
9075,38,167,MA,SÃO BENTO,1368,1759016,4ED4D78C,20220927T172300,677076952634325769627091,20221002T080001,20221002T172136,111,91,89,
90824,57,78,MT,GAÚCHA DO NORTE,1112,1762677,E02ABB17,20220920T124000,657877028993098474112684,20221002T070001,20221002T160048,156,123,122,
91804,49,68,MS,DOIS IRMÃOS DO BURITI,1082,1253396,F2BFE6DF,20220920T100900,656592954436148715764672,20221002T070001,20221002T160343,307,221,212,
91979,16,86,MT,SANTA TEREZINHA,1082,1760978,4B9419ED,20220922T112000,326105546825652572321061,20221002T070001,20221002T160733,291,253,246,
9415,39,206,MA,TURIAÇU,2267,1813370,1EB7AF39,20220927T194800,774297617877178680601860,20221002T080001,20221002T170111,106,83,81,
95257,23,104,TO,PEDRO AFONSO,1139,2152441,7F80F94F,20220923T083900,270374800672112969979604,20221002T080001,20221002T170243,73,68,66,
95338,32,70,TO,GOIATINS,1198,2154454,5DE76636,20220922T171600,431386927873758312968911,20221002T080001,20221002T173732,286,271,266,
9555,78,251,MA,BOM JARDIM,2828,1620112,157ABDBC,20220922T180800,678304317601152611812198,20221002T080001,20221002T170550,109,71,65,
9555,78,283,MA,BOM JARDIM,2992,1808162,E30C59D3,20220922T180500,244061315215519890412215,20221002T080316,20221002T170054,193,172,170,
98477,36,100,AM,TABATINGA,1287,1285033,C09E265E,20220927T134700,266513354216931573907971,20221002T061217,20221002T150840,161,151,144,
98477,36,61,AM,TABATINGA,1201,1271139,EFB7D902,20220927T120200,327119856273177859033920,20221002T060001,20221002T175505,346,296,256,
98477,36,98,AM,TABATINGA,1279,1267537,C09E265E,20220927T133300,690856205259995445608254,20221002T061921,20221002T173643,166,157,142,
98655,26,189,MT,CAMPINÁPOLIS,1112,1048804,CCEEDFB4,20220923T104600,142794783185057181495015,20221002T070001,20221002T160920,342,252,251,
98817,33,255,MT,PEIXOTO DE AZEVEDO,1139,1759301,78C591EA,20220921T154800,838437910703253336829161,20221002T070023,20221002T160315,188,114,112,
98850,28,191,MT,PORTO ALEGRE DO NORTE,1090,1071954,BA13DF25,20220922T130400,483050319788136699481708,20221002T070001,20221002T160028,57,52,51,
